session,role,group,offset_ms,mean_displacement_m,mean_abs_label_diff_m,pct_of_mean_displacement,n_labels,note
S-Vfa01,train,Vfa,-250,16.29498310906356,0.050710381359685495,0.3112024174574289,11398,
S-Vfa01,train,Vfa,500,16.29498310906356,0.12680933013031737,0.7782108719080769,11395,
S-Vfa01,train,Vfa,-500,16.29498310906356,0.12680933013031737,0.7782108719080769,11395,
S-Vfa01,train,Vfa,1000,16.29498310906356,0.2537299941761642,1.557104984263746,11390,
S-Vfa01,train,Vfa,-1000,16.29498310906356,0.2537299941761642,1.557104984263746,11390,
S-Vfa02,train,Vfa,0,24.1407340471628,0.0,0.0,67466,
S-Vfa02,train,Vfa,100,24.1407340471628,0.01227344240777312,0.05084121462004834,67465,
S-Vfa02,train,Vfa,-100,24.1407340471628,0.01227344240777312,0.05084121462004834,67465,
S-Vfa02,train,Vfa,250,24.1407340471628,0.024547248662933348,0.10168393643282081,67464,
S-Vfa02,train,Vfa,-250,24.1407340471628,0.024547248662933348,0.10168393643282081,67464,
S-Vfa02,train,Vfa,500,24.1407340471628,0.061370850699761025,0.25422114580220806,67461,
S-Vfa02,train,Vfa,-500,24.1407340471628,0.061370850699761025,0.25422114580220806,67461,
S-Vfa02,train,Vfa,1000,24.1407340471628,0.12275079930564642,0.5084799785533988,67456,
S-Vfa02,train,Vfa,-1000,24.1407340471628,0.12275079930564642,0.5084799785533988,67456,
S-Vta10,train,Vta,0,24.9202025773697,0.0,0.0,1430,
S-Vta10,train,Vta,100,24.9202025773697,0.034279927134560566,0.1375587819887569,1429,
S-Vta10,train,Vta,-100,24.9202025773697,0.034279927134560566,0.1375587819887569,1429,
S-Vta10,train,Vta,250,24.9202025773697,0.0686078653691915,0.27531022332657534,1428,
S-Vta10,train,Vta,-250,24.9202025773697,0.0686078653691915,0.27531022332657534,1428,
S-Vta10,train,Vta,500,24.9202025773697,0.17188075744763692,0.6897245594773923,1425,
S-Vta10,train,Vta,-500,24.9202025773697,0.17188075744763692,0.6897245594773923,1425,
S-Vta10,train,Vta,1000,24.9202025773697,0.3449719427622855,1.3843063341529902,1420,
S-Vta10,train,Vta,-1000,24.9202025773697,0.3449719427622855,1.3843063341529902,1420,
S-Vta2,train,Vta,0,10.101104336489684,0.0,0.0,10951,
S-Vta2,train,Vta,100,10.101104336489684,0.06615828171404511,0.6549608786343486,10950,
S-Vta2,train,Vta,-100,10.101104336489684,0.06615828171404511,0.6549608786343486,10950,
S-Vta2,train,Vta,250,10.101104336489684,0.12869794680048674,1.2740977868684367,10949,
