role,session,predictor,duration_s,crse,cae,bucket
test,S-A5,constant_velocity_dr,10.0,12.285007169619288,0.4448758557784984,15-25
test,S-A5,constant_velocity_dr,10.0,15.41015308881943,4.743651214608107,15-25
test,S-A5,constant_velocity_dr,10.0,6.5352548545651405,4.813849832840653,15-25
test,S-A5,constant_velocity_dr,10.0,8.090190207240818,-6.843553989529315,15-25
test,S-A5,constant_velocity_dr,10.0,1.407901191716321,0.9262062474299917,15-25
test,S-A5,constant_velocity_dr,10.0,13.540247238264797,-13.199322844909886,15-25
test,S-A5,constant_velocity_dr,10.0,1.1887135741333077,1.0017603455383899,15-25
test,S-A5,constant_velocity_dr,10.0,16.21056017980149,-14.516171749911386,15-25
test,S-A5,constant_velocity_dr,10.0,13.114438125107448,11.423605511906114,15-25
test,S-A5,constant_velocity_dr,10.0,13.402887969901403,0.8857316518226241,15-25
test,S-A5,constant_velocity_dr,10.0,23.644709141658865,-23.8807370904528,>25
test,S-A5,constant_velocity_dr,10.0,15.613807933222944,15.297127078515974,15-25
test,S-A5,constant_velocity_dr,10.0,6.65224688726897,-6.369000759050962,>25
test,S-A5,constant_velocity_dr,10.0,4.1018999881893805,-1.8667918828063357,15-25
test,S-A5,constant_velocity_dr,10.0,3.4659255218469793,-3.530521882536494,15-25
test,S-A5,constant_velocity_dr,10.0,20.930400071161678,-20.965247651703983,>25
test,S-A5,constant_velocity_dr,10.0,5.0393694614673,-4.9674313415869875,>25
test,S-A5,constant_velocity_dr,10.0,13.90726872908418,9.353386736462433,15-25
test,S-A5,constant_velocity_dr,10.0,1.9882622572979132,-1.9961237484103798,15-25
test,S-A5,constant_velocity_dr,10.0,20.219757729916047,-20.690393120015734,>25
test,S-A5,constant_velocity_dr,10.0,15.875377745734676,4.952845904186592,>25
test,S-A5,constant_velocity_dr,10.0,22.43559468990102,5.173994684180883,>25
test,S-A5,constant_velocity_dr,10.0,33.897877137654,13.228303758724344,15-25
test,S-A5,constant_velocity_dr,10.0,34.5257060548765,-33.652597045876846,>25
test,S-A5,constant_velocity_dr,10.0,49.91996460819571,22.74652782379622,15-25
test,S-A5,constant_velocity_dr,10.0,53.272285591225554,-29.470354740530446,15-25
test,S-A5,constant_velocity_dr,10.0,122.12148610204267,-124.48565634103566,>25
test,S-A5,constant_velocity_dr,10.0,27.864375258146772,23.272092828725455,15-25
test,S-A5,constant_velocity_dr,10.0,18.353539808181125,-14.151854613428831,15-25
test,S-A5,constant_velocity_dr,10.0,25.542354244527587,-17.433107992064397,>25
test,S-A5,constant_velocity_dr,10.0,17.104915646593525,-17.152042288594092,>25
test,S-A5,constant_velocity_dr,10.0,15.191668213337476,5.725016026313444,>25
test,S-A5,constant_velocity_dr,10.0,19.849570740117894,-4.353187993435238,>25
test,S-A5,constant_velocity_dr,10.0,15.334357135880909,12.980515769159158,15-25
test,S-A5,constant_velocity_dr,10.0,11.47461706764961,7.538787560146886,>25
test,S-A5,constant_velocity_dr,10.0,57.37777276748831,-42.959312601527046,>25
test,S-A5,constant_velocity_dr,10.0,20.77388752802098,11.052355607467316,15-25
test,S-A5,constant_velocity_dr,10.0,18.646580287690565,3.285273891948558,15-25
test,S-A5,constant_velocity_dr,10.0,8.755998532260831,7.2685444078755985,15-25
test,S-A5,constant_velocity_dr,10.0,16.954201372673054,-15.286235379694617,>25
test,S-A5,constant_velocity_dr,10.0,5.180319614078161,-5.211787494008856,>25
test,S-A5,constant_velocity_dr,10.0,5.225794322995137,3.895329175236885,>25
test,S-A5,constant_velocity_dr,10.0,8.627900799002527,-8.731374609675008,>25
