role,session,predictor,duration_s,crse_m,final_pos_err_m,aeps_m,true_distance_m
test,S-A5,ins_dr,10.0,6.815094575570793,6.815094575570793,1.279895439428906,60.90106765320539
test,S-A5,ins_dr,10.0,5.149128706505613,5.149128706505613,0.9872944602057074,57.6937972054727
test,S-A5,ins_dr,10.0,14.249193533776129,14.249193533776129,1.554696925259573,78.50260525350345
test,S-A5,ins_dr,10.0,7.248176683206074,7.248176683206074,0.941987624630405,88.03274452014283
test,S-A5,ins_dr,10.0,2.2196005753644434,2.2196005753644434,0.9059387749525047,66.90274473577493
test,S-A5,ins_dr,10.0,40.82264342917812,40.82264342917812,4.09367684105418,97.04618640195528
test,S-A5,ins_dr,10.0,27.43554090457421,27.43554090457421,2.741117329557136,155.1926155684843
test,S-A5,ins_dr,10.0,43.225822432956896,43.225822432956896,4.310278945287467,88.72276418786309
test,S-A5,ins_dr,10.0,2.173941635980337,2.173941635980337,0.6053560896425704,58.5494711374642
test,S-A5,ins_dr,10.0,48.22337438474208,48.22337438474208,4.825660266172585,104.89809852485249
test,S-A5,ins_dr,10.0,3.1106878740274655,3.1106878740274655,1.7126835984024609,122.7974741715569
test,S-A5,ins_dr,10.0,15.17059534776855,15.17059534776855,1.491403353104041,49.720362710734534
test,S-A5,ins_dr,10.0,4.930447346305424,4.930447346305424,0.8462693670621375,56.668997482584814
test,S-A5,ins_dr,10.0,39.163219874849815,39.163219874849815,3.9270455734510463,108.51196044589042
test,S-A5,ins_dr,10.0,17.188450153594633,17.188450153594633,1.697052895536082,71.63386752955098
test,S-A5,ins_dr,10.0,35.91780861929655,35.91780861929655,3.6049770231726486,107.15708128610608
test,S-A5,ins_dr,10.0,39.75063743185542,39.75063743185542,3.965086809517506,156.01127873328252
test,S-A5,ins_dr,10.0,25.92186372980169,25.92186372980169,2.592866607154194,170.97690001093338
test,S-A5,ins_dr,10.0,19.904503674813224,19.904503674813224,1.9969266184382064,177.97851782042753
test,S-A5,ins_dr,10.0,10.966202077485779,10.966202077485779,1.1879903207286093,160.15043929522656
test,S-A5,ins_dr,10.0,14.126187793530804,14.126187793530804,1.1759760495239282,147.70748375816453
test,S-A5,ins_dr,10.0,18.6444704862355,18.6444704862355,1.6413852223148246,143.36328200373916
test,S-A5,ins_dr,10.0,16.124510801677705,16.124510801677705,1.579993814709697,145.00859742792915
