session,predictor,duration_s,t0,crse_m,cae_m,abs_cae_m,aeps_m,final_pos_err_m,max_pos_err_m,true_distance_m
S-A6,hmm_matched_graph_ins_dr,60.0,5820.139,113.85457900803748,-116.21703808830276,116.21703808830276,2.239197558532395,113.85457900803748,113.85457900803748,1508.190705501937
S-A6,hmm_matched_graph_ins_dr,60.0,5880.139,15.456157324109467,-15.125952476052017,15.125952476052017,1.7050305721231562,15.456157324109467,50.23200349680833,1443.9834883070998
S-A6,hmm_matched_graph_ins_dr,60.0,5940.139,292.66254891316555,-300.3142679892269,300.3142679892269,5.005237799820448,292.66254891316555,292.66254891316555,1547.8141498023
S-A6,hmm_matched_graph_ins_dr,60.0,6000.139,185.27139482222145,-187.90438746752073,187.90438746752073,3.1317397911253457,185.27139482222145,185.27139482222145,1550.381080271119
S-A6,hmm_matched_graph_ins_dr,60.0,6060.139,166.03026993671867,-168.0493079729482,168.0493079729482,2.8008217995491367,166.03026993671867,166.03026993671867,1546.2808345007493
S-A6,hmm_matched_graph_ins_dr,60.0,6120.139,2231.771920274267,-147.35016613663166,147.35016613663166,2.5021416187321113,2231.771920274267,2231.771920274267,1538.2599416018454
S-A6,hmm_matched_graph_ins_dr,60.0,6180.139,152.9227221929155,-157.38659122204933,157.38659122204933,2.7223294040569455,152.9227221929155,152.9227221929155,1513.5896968425432
S-A6,hmm_matched_graph_ins_dr,60.0,6240.139,242.730373165021,-246.8305656435351,246.8305656435351,4.113842760725585,242.730373165021,242.730373165021,1549.045250734085
S-A6,hmm_matched_graph_ins_dr,60.0,6300.139,172.50105284434449,-174.58172698346235,174.58172698346235,2.936621012146843,172.50105284434449,172.50105284434449,1566.8821512482125
S-A6,hmm_matched_graph_ins_dr,60.0,6360.139,127.21898499442518,-127.79525078966967,127.79525078966967,2.1790166387257517,127.21898499442518,127.21898499442518,1544.1948075480718
S-A6,hmm_matched_graph_ins_dr,60.0,6420.139,143.3564084272498,-149.18677458088965,149.18677458088965,2.5621444891769825,143.3564084272498,143.3564084272498,1569.176653833865
S-A6,hmm_matched_graph_ins_dr,60.0,6480.139,160.61784040675386,-162.4742898901752,162.4742898901752,2.913208937814336,160.61784040675386,160.61784040675386,1560.9182642194687
S-A6,hmm_matched_graph_ins_dr,60.0,6540.139,57.78442227072146,-54.8114540887245,54.8114540887245,1.3891457962876563,57.78442227072146,57.823406136966526,1531.8888868799588
S-A6,hmm_matched_graph_ins_dr,60.0,6600.139,179.81280497870975,-182.07025131914483,182.07025131914483,3.0910627963621224,179.81280497870975,179.81280497870975,1567.7409207271057
S-A6,hmm_matched_graph_ins_dr,60.0,6660.139,88.37079428359154,-97.59361844822465,97.59361844822465,3.301797744655357,88.37079428359154,88.37079428359154,1544.967163890239
S-A6,hmm_matched_graph_ins_dr,60.0,6720.139,151.27852577558647,-156.00162465277424,156.00162465277424,2.7106071630698594,151.27852577558647,151.27852577558647,1555.2514628285626
S-A6,hmm_matched_graph_ins_dr,60.0,6780.139,178.45575425330833,-177.2025703516521,177.2025703516521,2.953376172527535,178.45575425330833,178.45575425330833,1554.4594335357403
S-A6,hmm_matched_graph_ins_dr,60.0,6840.139,58.80104353104468,-58.263773913166446,58.263773913166446,1.357278980286807,58.80104353104468,69.98281398789055,1427.8584713441614
S-A6,hmm_matched_graph_ins_dr,60.0,6900.139,435.98655759896775,366.4203139136394,366.4203139136394,6.77029783366503,435.98655759896775,435.98655759896775,776.3233312969337
S-A6,hmm_matched_graph_ins_dr,60.0,6960.139,325.46994062177777,-327.084778191477,327.084778191477,5.451412969857951,325.46994062177777,325.46994062177777,1010.6913958784081
S-A6,hmm_matched_graph_ins_dr,60.0,7020.139,304.99006252074423,-213.4914871695255,213.4914871695255,3.704831064852932,304.99006252074423,304.99006252074423,1107.2436054438056
S-A6,hmm_matched_graph_ins_dr,60.0,7080.139,228.0048225453912,-231.09526037986024,231.09526037986024,3.8746600385639853,228.0048225453912,228.0048225453912,1320.1628791254475
S-A6,hmm_matched_graph_ins_dr,60.0,7140.139,89.6428860341343,-92.4731983093708,92.4731983093708,2.101637679405999,89.6428860341343,90.41703844879669,1306.8195171510674
S-A6,hmm_matched_graph_ins_dr,60.0,7200.139,67.44733484754127,-69.13028979357819,69.13028979357819,1.4718829185848914,67.44733484754127,70.54244861353814,1192.9099891027456
S-A6,hmm_matched_graph_ins_dr,60.0,7260.139,150.87640420882445,-152.88267068923975,152.88267068923975,3.9479954745363512,150.87640420882445,150.87640420882445,1156.197584672969
S-A6,hmm_matched_graph_ins_dr,60.0,7320.139,7.227265772602268,-10.944434077952968,10.944434077952968,2.2551912569814716,7.227265772602268,28.265277390045792,1128.0870438350682
S-A6,hmm_matched_graph_ins_dr,60.0,7380.139,10.524209546042371,6.448284200357236,6.448284200357236,2.513423958867284,10.524209546042371,65.22413260843761,1124.0741034717912
S-A6,hmm_matched_graph_ins_dr,60.0,7440.139,963.9848890430736,-544.3372024200831,544.3372024200831,9.418249440444631,963.9848890430736,963.9848890430736,895.7417183441352
S-A6,hmm_matched_graph_ins_dr,60.0,7500.139,154.91298030882308,-157.8860490689035,157.8860490689035,2.646541132828135,154.91298030882308,154.91298030882308,1215.5536362182897
S-A6,hmm_matched_graph_ins_dr,60.0,7560.139,329.9477303342169,203.5383333666082,203.5383333666082,4.1252505448929675,329.9477303342169,329.9477303342169,792.331044726191
S-A6,hmm_matched_graph_ins_dr,60.0,7620.139,134.09157219504533,-140.21268064604234,140.21268064604234,2.5209317887125753,134.09157219504533,134.09157219504533,928.8434669344155
S-A6,hmm_matched_graph_ins_dr,60.0,7740.139,274.29645208625095,-266.50132228889714,266.50132228889714,4.46923249633797,274.29645208625095,274.29645208625095,976.5678296175328
S-A6,hmm_matched_graph_ins_dr,60.0,7800.139,269.79416259490955,-273.6756983462375,273.6756983462375,4.561261639103958,269.79416259490955,269.79416259490955,1057.928245489786
S-A6,hmm_matched_graph_ins_dr,60.0,7860.139,67.38901387029348,63.9086186940133,63.9086186940133,3.6877745461574665,67.38901387029348,130.75038314806957,797.753979594956
S-A6,hmm_matched_graph_ins_dr,60.0,7920.139,63.12932361919396,53.81316293786453,53.81316293786453,1.7072269820099304,63.12932361919396,66.88731139938722,802.9302363128152
S-A6,hmm_matched_graph_ins_dr,60.0,7980.139,11.996981222363528,2.2566255483252844,2.2566255483252844,1.5145372167007474,11.996981222363528,36.256457994425894,540.9661814848306
S-A6,hmm_matched_graph_ins_dr,60.0,8040.139,159.51616591187292,289.01099012165986,289.01099012165986,4.931409682286317,159.51616591187292,159.51616591187292,256.1531168738682
S-A6,hmm_matched_graph_ins_dr,60.0,8100.139,65.8869732126352,91.3193662841761,91.3193662841761,2.560013630150242,65.8869732126352,65.8869732126352,320.8443703093559
S-A6,viterbi_matched_graph_ins_dr,10.0,30.139,38.863344243227054,-39.97342711377252,39.97342711377252,6.328654686030838,38.863344243227054,38.863344243227054,91.27641931929749
S-A6,viterbi_matched_graph_ins_dr,10.0,40.138999999999996,70.74796189322974,-20.385462402765732,20.385462402765732,2.2156942610821946,70.74796189322974,70.74796189322974,85.59364184518599
S-A6,viterbi_matched_graph_ins_dr,10.0,80.139,47.990956666265355,-50.6399980729701,50.6399980729701,5.165004354752779,47.990956666265355,47.990956666265355,188.85484003905546
S-A6,viterbi_matched_graph_ins_dr,10.0,90.139,4.665363666076386,-7.402380916741187,7.402380916741187,1.1739994707275412,4.665363666076386,6.27638211414809,155.5214462048216
S-A6,viterbi_matched_graph_ins_dr,10.0,100.139,6.131029202673254,5.569570504881824,5.569570504881824,1.033104831230841,6.131029202673254,6.131029202673254,131.84825563103317
S-A6,viterbi_matched_graph_ins_dr,10.0,110.139,40.96308979144258,34.17839820814336,34.17839820814336,3.434802941958419,40.96308979144258,40.96308979144258,85.36559263212784
S-A6,viterbi_matched_graph_ins_dr,10.0,120.139,19.56606580640802,-1.6092771335502922,1.6092771335502922,2.456572730535549,19.56606580640802,26.712113240638786,79.86676505447694
S-A6,viterbi_matched_graph_ins_dr,10.0,130.139,63.004879300920244,-63.39905758420898,63.39905758420898,6.339905758420898,63.004879300920244,63.004879300920244,153.19656308643857
S-A6,viterbi_matched_graph_ins_dr,10.0,140.139,32.383722341318304,-32.63020215984944,32.63020215984944,3.526118989794015,32.383722341318304,32.383722341318304,181.7693309828258
S-A6,viterbi_matched_graph_ins_dr,10.0,150.139,15.49704497876775,-14.416563451755108,14.416563451755108,1.7636995451697253,15.49704497876775,17.036731033771872,178.00040414129802
S-A6,viterbi_matched_graph_ins_dr,10.0,160.139,27.74128667023544,-28.51942800520811,28.51942800520811,2.8519428005208107,27.74128667023544,27.74128667023544,176.40444613422127
S-A6,viterbi_matched_graph_ins_dr,10.0,170.139,14.42986102171756,-13.196394613312357,13.196394613312357,1.3271199964819176,14.42986102171756,14.42986102171756,169.49165118960195
S-A6,viterbi_matched_graph_ins_dr,10.0,180.139,23.976048453826294,-24.288189025098013,24.288189025098013,2.4288189025098013,23.976048453826294,23.976048453826294,172.9599071485701
S-A6,viterbi_matched_graph_ins_dr,10.0,190.139,14.802345551788747,13.456452240241454,13.456452240241454,3.194987417510556,14.802345551788747,14.802345551788747,149.46127269133967
S-A6,viterbi_matched_graph_ins_dr,10.0,200.139,77.52964460628944,20.351531852379505,20.351531852379505,2.6412620631238335,77.52964460628944,77.52964460628944,108.40256605112009
S-A6,viterbi_matched_graph_ins_dr,10.0,210.139,9.716503690644752,1.33931001342693,1.33931001342693,1.2695798822162976,9.716503690644752,9.716503690644752,109.46642581029401
S-A6,viterbi_matched_graph_ins_dr,10.0,220.139,15.717854184864331,-3.6940112644849545,3.6940112644849545,1.8741250761297352,15.717854184864331,15.717854184864331,118.1536420918575
S-A6,viterbi_matched_graph_ins_dr,10.0,230.139,39.457991459482976,-39.26957524827179,39.26957524827179,4.170618866303505,39.457991459482976,39.457991459482976,146.85935503890116
S-A6,viterbi_matched_graph_ins_dr,10.0,240.139,41.86777998854517,-42.28717788141688,42.28717788141688,4.228717788141688,41.86777998854517,41.86777998854517,184.0593070303522
S-A6,viterbi_matched_graph_ins_dr,10.0,250.139,38.57250755745649,-38.54268923524749,38.54268923524749,3.938615870508218,38.57250755745649,38.57250755745649,197.217634637085
S-A6,viterbi_matched_graph_ins_dr,10.0,260.139,30.636456826079776,-30.143313736166693,30.143313736166693,3.145271967051335,30.636456826079776,30.636456826079776,223.92697041616287
S-A6,viterbi_matched_graph_ins_dr,10.0,270.139,26.130783203967365,-25.09851452986581,25.09851452986581,2.6037864205727352,26.130783203967365,26.130783203967365,227.48602157121562
S-A6,viterbi_matched_graph_ins_dr,10.0,280.139,18.755619194747183,-19.065500734728417,19.065500734728417,2.9267907001087834,18.755619194747183,18.755619194747183,220.53482245897348
S-A6,viterbi_matched_graph_ins_dr,10.0,290.139,26.08482865466966,-25.855066743073614,25.855066743073614,2.5855066743073616,26.08482865466966,26.08482865466966,229.3270444726606
S-A6,viterbi_matched_graph_ins_dr,10.0,300.139,28.301501658036717,-28.51481255689819,28.51481255689819,2.851481255689819,28.301501658036717,28.301501658036717,233.34141581114196
S-A6,viterbi_matched_graph_ins_dr,10.0,310.139,24.177007055028024,-24.443721252379966,24.443721252379966,2.4443721252379964,24.177007055028024,24.177007055028024,234.189562783183
S-A6,viterbi_matched_graph_ins_dr,10.0,320.139,21.746555035983725,-23.260917728578338,23.260917728578338,3.0806182173018097,21.746555035983725,21.746555035983725,236.0660613354883
S-A6,viterbi_matched_graph_ins_dr,10.0,330.139,7.320648589627004,-3.282529938913207,3.282529938913207,1.4917204157718031,7.320648589627004,7.320648589627004,224.2923287716664
S-A6,viterbi_matched_graph_ins_dr,10.0,340.139,29.990606100817708,-30.081760916975306,30.081760916975306,3.0081760916975306,29.990606100817708,29.990606100817708,239.6399735280463
S-A6,viterbi_matched_graph_ins_dr,10.0,350.139,18.759999940826894,-18.96254480076168,18.96254480076168,2.590097409715768,18.759999940826894,18.759999940826894,234.48873900322292
S-A6,viterbi_matched_graph_ins_dr,10.0,360.139,30.819260987175152,-30.72044241097506,30.72044241097506,3.072044241097506,30.819260987175152,30.819260987175152,243.82290529558497
S-A6,viterbi_matched_graph_ins_dr,10.0,370.139,25.097438643167273,-27.90834785209286,27.90834785209286,4.928251437658163,25.097438643167273,25.13987116643309,251.87426139909502
S-A6,viterbi_matched_graph_ins_dr,10.0,380.139,13.979946142297885,-10.526499383434018,10.526499383434018,4.690994719136764,13.979946142297885,17.601045875160214,228.57091151860047
S-A6,viterbi_matched_graph_ins_dr,10.0,390.139,47.3095279621414,-50.45164711892832,50.45164711892832,5.941762530247077,47.3095279621414,53.474844088793105,255.11431755093705
S-A6,viterbi_matched_graph_ins_dr,10.0,400.139,41.631429280129495,-45.05481196271283,45.05481196271283,4.505481196271283,41.631429280129495,41.631429280129495,248.21523455071474
S-A6,viterbi_matched_graph_ins_dr,10.0,410.139,28.2165759035547,-22.50625408599184,22.50625408599184,5.173758516171946,28.2165759035547,28.2165759035547,240.6984106942031
