cae,aeps,crse_scalar,n_seconds,crse,session,t0,duration,predictor,final_position_error_m,max_position_error_m,true_distance_m,start_speed_ms,scenario
-18.49475379413355,1.8494753794133552,18.49475379413355,10,201.92598991961393,V-vta11,43511.9,10.0,ins_dr,201.92598991961393,201.92598991961393,128.9392169327313,10.569444444444445,roundabout
-5.662481692478009,0.5662481692478009,5.662481692478009,10,12.996592831122209,V-Vfb02d,69693.4,10.0,ins_dr,12.996592831122209,12.996592831122209,122.4415562677141,10.522222222222224,roundabout
-9.675539835698572,0.9675539835698572,9.675539835698572,10,10.516794079698377,V-Vfb02d,69703.4,10.0,ins_dr,10.516794079698377,10.516794079698377,144.3892697284847,13.733333333333333,roundabout
-11.125872189392537,1.1125872189392536,11.125872189392537,10,14.912908465570588,V-Vfb02d,69713.4,10.0,ins_dr,14.912908465570588,14.912908465570588,150.38771388163906,15.008333333333335,roundabout
-11.975455216007653,1.1975455216007653,11.975455216007653,10,27.205296428917837,V-Vfb02d,69723.4,10.0,ins_dr,27.205296428917837,27.205296428917837,151.05893293082505,14.725,roundabout
3.6848384371790117,0.9551178117987572,9.551178117987572,10,6.516846494069598,V-Vfb02d,69733.4,10.0,ins_dr,6.516846494069598,6.516846494069598,70.51673476788035,15.25,roundabout
-4.901493652783528,0.5761303915920981,5.761303915920981,10,8.667413670888667,V-Vfb02d,69753.4,10.0,ins_dr,8.667413670888667,8.667413670888667,92.54106432269074,6.8083333333333345,roundabout
10.293023360880934,1.1244624167888297,11.244624167888297,10,16.948635201389973,V-Vfb02d,69763.4,10.0,ins_dr,16.948635201389973,16.948635201389973,21.760985579506297,6.138888888888889,roundabout
-11.411278757157323,1.1411278757157324,11.411278757157323,10,16.421151215114588,V-Vfb02e,69781.4,10.0,ins_dr,16.421151215114588,16.421151215114588,122.94399906456067,10.827777777777778,quick_acceleration_change
-10.059920785496569,1.005992078549657,10.059920785496569,10,10.419470343430891,V-Vfb02e,69791.4,10.0,ins_dr,10.419470343430891,10.419470343430891,137.29043880209028,13.755555555555556,quick_acceleration_change
-3.796943593414788,0.6640834004205487,6.640834004205487,10,8.121101981515134,V-Vfb02e,69801.4,10.0,ins_dr,8.121101981515134,8.121101981515134,151.60499663253572,14.197222222222223,quick_acceleration_change
2.8120485117756733,0.8909139832442305,8.909139832442305,10,4.170634202554521,V-Vfb02e,69811.4,10.0,ins_dr,4.170634202554521,4.170634202554521,140.6120541481223,16.283333333333335,quick_acceleration_change
-5.701792634194405,0.5701792634194405,5.701792634194405,10,16.633066330493214,V-Vfb02e,69821.4,10.0,ins_dr,16.633066330493214,16.633066330493214,166.9487534363014,14.522222222222224,quick_acceleration_change
-18.126996017487556,1.8126996017487556,18.126996017487556,10,18.389362878536495,V-Vfb02e,69831.4,10.0,ins_dr,18.389362878536495,18.389362878536495,192.13359887082186,19.6,quick_acceleration_change
-19.493279735158048,1.9493279735158047,19.493279735158048,10,22.024990385048728,V-Vfb02e,69841.4,10.0,ins_dr,22.024990385048728,22.024990385048728,164.40844393575543,20.00277777777778,quick_acceleration_change
